google/gsoc2012/ozancaglayan/10001,Ozan Çağlayan,Compat-vga for the Linux kernel,The Linux Foundation
google/gsoc2012/oguzy/69002,Oğuz Yarımtepe,Network Analyzer,The Honeynet Project
google/gsoc2012/pablog/24002,Pablo Castellano,CNML Explorer,freifunk
google/gsoc2012/pestefo/22001,Pablo Estefó,TestSurgeon,ESUG (European Smalltalk User Group)
google/gsoc2012/pablospe/14001,pablospe,SfM: adapt libmv for OpenCV,Open Source Computer Vision Library (OpenCV)
google/gsoc2012/mady902/41001,Pallan Madhavan,SIP(Scilab Image Processing Toolbox) + Scilab ,Scilab
google/gsoc2012/pankajb64/16001,Pankaj Bhambhani,Facebook Integration for Choqok,KDE
google/gsoc2012/pkalogiros/24001,Pantelis,Browser Implementation,Point Cloud Library (PCL)
google/gsoc2012/xiaochen/11001,panx,RTEMS Testing Project,RTEMS Project
google/gsoc2012/prokrammer/31001,Parthasarathy G,Readable and Modular Scribus XML File Format,Scribus
google/gsoc2012/pato_yap/7001,Pato Y.,apertium-quz-spa: Machine Translation between Cuzco Quechua and Spanish,Apertium
google/gsoc2012/pehjota/14002,"Patrick ""P. J."" McDermott",Bootstrappable Debian,Debian Project 
google/gsoc2012/paulms/32002,Paul,Modifying shape animations in Calligra Stage,KDE
google/gsoc2012/pashpashkin/29001,Paul Kuzovkin,"Esse, a framework for visualizing, storing and exploring ideas",ESUG (European Smalltalk User Group)
google/gsoc2012/palango/19001,Paul Lange,Advanced layer system for PiTiVi,GStreamer
google/gsoc2012/paulh/26002,paulh,ClusterGL Liquid Galaxy Integration/Packaging,Liquid Galaxy Project
google/gsoc2012/piastry/30002,Pavel Shilovsky,Improve SMB2 protocol support for CIFS Linux kernel module,Samba
google/gsoc2012/pdziepak/13001,Pawel Dziepak,NFSv4 client,Haiku
google/gsoc2012/paweldomas/10003,PawelD,XMPP-Jitsi: PseudoTCP,XMPP Standards Foundation
google/gsoc2012/pzagor/13001,Paweł Zagórski,Aerospace Blockset for Xcos overview.,Scilab
google/gsoc2012/sixtripleeight/18003,peex,digiKam: Improve integration of Photivo,KDE
google/gsoc2012/jilinxpd/13001,Peidong,CIFS client (smbfs) mmap support,illumos
google/gsoc2012/aucahuasi/21002,Percy Camilo Triveño Aucahuasi,Replacement for KmPlot,KDE
google/gsoc2012/sajty/16002,Peter Szücs,Automatic mesh LOD management system,WorldForge
google/gsoc2012/pecisk/33002,Peteris Krisjanis (Pēteris Krišjānis),Gstreamer based Waveform reading and drawing library,GStreamer
google/gsoc2012/svick/24001,Petr Onderka,Finish .NET 4.5 TPL Dataflow,Mono Project
google/gsoc2012/sukhitha/58002,Phabtar,Improve COLLADA constrained animations and Morph animation support.,Blender Foundation
google/gsoc2012/phalgun/58002,Phalgun Guduthur,Semantic desktop collection in Amarok,KDE
google/gsoc2012/pvadrevu/16001,Phani Vadrevu,Glastopf improvements,The Honeynet Project
google/gsoc2012/hale/8001,Philip Hale,Brigade Deployment Wizard,Code for America
google/gsoc2012/redbrain1123/28002,Philip Herron,Cython Pxd generation using gcc-python-plugin,Python Software Foundation
google/gsoc2012/philiplb/30001,Philip LB,Volume Rendering with LOD aimed at terrain,OGRE (Object-Oriented Graphics Rendering Engine) 
google/gsoc2012/phischu/19001,Philipp Schuster,Enable GHC to use multiple instances of a package for compilation,haskell.org
google/gsoc2012/phong/12001,Phong Ngo,Port of the compiler to ARM/Linux ,Jikes RVM
google/gsoc2012/nowhereman/36001,Pierre Thierry,Virtualization Using Hurd Mechanisms,GNU Project
google/gsoc2012/zarch/11001,Pietro Zambelli,Python high level map interaction for GRASS GIS,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/harderock/9001,Ping Huang,"Porting GCC, binutils, and GDB to MINIX 3",MINIX 3
google/gsoc2012/sparek/9001,Piotr Dowgiallo,Support for ASP .NET MVC in MonoDevelop,Mono Project
google/gsoc2012/grap/15001,Piotr Grabowski,Customizable serialization,Django Software Foundation
google/gsoc2012/pjanik/9001,Piotr Janik,Using WebGL to Accelerate Fluid Dynamics Simulation in the Browser,The Concord Consortium
google/gsoc2012/lte/28001,Piotr Niełacny,Scanny,openSUSE
google/gsoc2012/pdr/28001,Piotr Olma,NSE - script development,Nmap Security Scanner
google/gsoc2012/harold/6001,Piotr Sawicki,Active-active clustering,PacketFence
google/gsoc2012/piotrb/8001,piotrb,Real-time metrics and monitoring for virtual machines and nodes,Oregon State University Open Source Lab (OSUOSL)
google/gsoc2012/madanpiyush/17001,Piyush Madan,"Registration, Outpatient Department & Laboratory Module",Raxa
google/gsoc2012/platonides/16001,Platonides,Application for mass uploading files to Wikimedia Commons on upload campaigns,Wikimedia Foundation
google/gsoc2012/pluskid_zju/24001,pluskid,Built generic multiclass learning framework,Shogun Machine Learning Toolbox
google/gsoc2012/plussai/17001,plussai,Trimmed NURBS Tessellation,BRL-CAD
google/gsoc2012/poljar/13001,poljar,Configurable latency for Bluetooth devices,PulseAudio
google/gsoc2012/popescuandrei/32001,Popescu Andrei ,Package Library Extensions,BRL-CAD
google/gsoc2012/pouyan/53002,Pouyan,Rewrite FProxy using Apache Wicket,Freenet Project Inc
google/gsoc2012/pathiranappps/24001,Prabhath Suminda,Developing a metadata model to manage photos in Apache Photark,Apache Software Foundation
google/gsoc2012/pragya18nsit/7001,Pragya,Hackademic CMS,OWASP Foundation
google/gsoc2012/pnpranavrao/12001,Pranav Rao,Building a GUI builder for the Kivy framework using Kivy,Natural User Interface Group
google/gsoc2012/pranjal/17001,Pranjal,Create a PHP client for OpenSRF and Evergreen,Evergreen
google/gsoc2012/pras_j/15001,Prasanth Jayachandran,CUBE operation in Pig,Apache Software Foundation
google/gsoc2012/nprasath02/65002,Prasath Nadarajah,JMediaWiki Package for Joomla Platform,Joomla!
google/gsoc2012/bafna/28001,Prashant Bafna,"Implement and Improve the import and export of math from/to odt, doc & docx  formats",abiword
google/gsoc2012/papriwalprateek/32002,prateek papriwal,Accurate Probability Distribution Function,Scilab
google/gsoc2012/pratik9891/8001,Pratik Sharma,CCVMultiplexer,Natural User Interface Group
google/gsoc2012/praveen97uma/35002,Praveen Kumar,"zc.buildout for Development and Deployment, Unit Testing and Quality Assurance",e-cidadania
google/gsoc2012/praveen_kumar_jbit/34001,Praveen Kumar,IDEA 30: Pathway Comparison in PathVisio,National Resource for Network Biology (NRNB)
google/gsoc2012/priyankam/35002,Priyanka M,openSUSE Karma plugin for openSUSE Connect,openSUSE
google/gsoc2012/psykes/26001,Psykes,"Density Estimation, Mode finding through samples and kernels",Open Source Computer Vision Library (OpenCV)
google/gsoc2012/pulasthi_supun/42002,pulasthi,Replace RRD with Cassandra as storage for collected performance data,OpenNMS
google/gsoc2012/pulasthi7/13001,Pulasthi Mahawithana,Implementing Novel Features to Improving De-duplication User Experience,OpenMRS
google/gsoc2012/pulkit110/61002,Pulkit Goyal,Google Maps like Matrix browsing,National Evolutionary Synthesis Center
google/gsoc2012/puneet/19001,Puneet Goyal,Enhancement to peer-to-peer DBus for Telepathy DBus Tubes,KDE
google/gsoc2012/pmangg/38002,Putra Manggala,Gambit Application: Computing the Index of an Equilibrium Component,The Gambit Project
google/gsoc2012/kya_na/7001,Q,Distance Analysis Tools 2012 for PostGIS Raster,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/fracting/11001,Qian Hong,GSoC project: Improve CJK font support,Wine (a project of Software Freedom Conservancy) 
google/gsoc2012/ntmq90/5001,Quan Nguyen,Mobile application for Wireless Community Networks,freifunk
google/gsoc2012/qsphan/18001,Quoc-Sang Phan,jpf-qif : Quantitative Information Flow Analysis for Java Bytecode,The Java Pathfinder Team
google/gsoc2012/rabisg/27001,Rabi Shanker Guha,Insight Use Cases: Microblogging and Events,The Fedora Project
google/gsoc2012/racheesingh/36002,Rachee Singh,Continuous cartography of public network services,CERN SFT
google/gsoc2012/venccsralph/12001,Rafael,New templates picking UI,LibreOffice
google/gsoc2012/eidos85/22001,Raffaele Petteruti,Mobile application to do AR aided wireless device pointing suitable for Wireless Community Networks ,Ninux.org
google/gsoc2012/raghavgarg/12001,Raghav Garg,Data Import Toolkit,New Visions for Public Schools
google/gsoc2012/raj_at/67001,Rajat ,TUIO Windows Touch Driver,Interface Ecology Lab @ Texas A&M University
google/gsoc2012/rajatgupta/31001,Rajat Gupta,Scribus Project Manager,Scribus
google/gsoc2012/rajul09/31001,Rajul,Improving NTP's logging/debugging system,Network Time
google/gsoc2012/rkag1412/45002,Rakshit,Client,"BOINC project, University of California, Berkeley"
google/gsoc2012/aglimzan/5001,Ram,Turkish-Tatar language pair,Apertium
google/gsoc2012/ramdesh88/25002,Ramindu Deshapriya,Full support for Multiple Languages ,Sahana Software Foundation
google/gsoc2012/ramyelkest/31001,Ramy Elkest,SOCR HTML5 Project,Statistics Online Computational Resource
google/gsoc2012/rcarrillo/6001,Ramón Carrrillo,QGIS for Mobile Devices,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/ranjana_prz/20002,Ranjana Prasad,WSDL customization framework for Axis2 and stabilize WSDL 2.0 features.,Apache Software Foundation
google/gsoc2012/raph_amiard/9001,Raphael Amiard,"Pluggable Backend Infrastructure for ClojureScript, and Development of a Lua backend",Clojure/dev
google/gsoc2012/zomux/3001,Raphael Shu,GSoC proposal for Twisted - Automatic Coding Standard Enforcement,Python Software Foundation
google/gsoc2012/raphaelsommer41/11001,Raphael Sommer,HTML 5 Player,Catroid Project
google/gsoc2012/edil/60002,Rauf Butt,SOAP Web Services server for AppSensor ,OWASP Foundation
google/gsoc2012/neena/22001,Ravi Chandra Padmala,Stem Improvements and Arm port.,Electronic Frontier Foundation/The Tor Project
google/gsoc2012/blacktooth/37002,Ravindra Nath Kakarla,Web Based RDM Tests & Integration with the RDM Index,Open Lighting Project
google/gsoc2012/kmitpushkar/26001,Ravipati Pushkar,Anatomical Drawing Custom Datatype (Design Page),OpenMRS
google/gsoc2012/raymondhs/20001,Raymond Hendy Susanto,Apertium id-ms: Indonesian-Malaysian machine translation,Apertium
google/gsoc2012/raymondlo84/17001,Raymond Lo,"Real-time 3D Applications based on PCL, Microsoft Kinect, and Tegra 3.",Point Cloud Library (PCL)
google/gsoc2012/renato2099/7001,Renato Marroquin,Gora - Amazon DynamoDB datastore for Gora,Apache Software Foundation
google/gsoc2012/rfonseca/4013,rfonseca,Implement AVRCP 1.3 Controller Role,BlueZ
google/gsoc2012/riannefijten/30001,Rianne Fijten,Plugin for metabolite information in Pathvisio,National Resource for Network Biology (NRNB)
google/gsoc2012/ruphy/15001,Riccardo Iaconelli,Amarok will shine like new.,KDE
google/gsoc2012/rlegendi/22002,Richard Oliver Legendi,[ScalaI DE] Integration of Specs2 with the Scala IDE,Scala Team
google/gsoc2012/aquarichy/34003,Richard Schwarting,GXml and GObject Serialisation,GNOME
google/gsoc2012/rickee/6001,Rickee Charbonneau,The Tecla Shield Meets Gaming Consoles (PS3),Komodo OpenLab
google/gsoc2012/spacetime/10001,Rishab Arora,"Improving Data Storage, Logs and adding DSO catalogs to KStars",KDE
google/gsoc2012/rishabhjain08/20001,Rishabh Jain,Making Irdroid fully switch accessible and using morse code as an input technique,Komodo OpenLab
google/gsoc2012/rishabhmehrotra/29001,Rishabh Mehrotra,Ranking :: Learning to Rank,Xapian Search Engine Library
google/gsoc2012/ritisha/23001,Ritisha ,Idea 3: Interactive path explorer through networks and biological pathways for Cytoscape,National Resource for Network Biology (NRNB)
google/gsoc2012/rlydontknow/36002,RlyDontKnow,Extending the deferred render manager,Crystal Space
google/gsoc2012/threeoften/24001,Robert G. Harwood,[CLISP] Finish the multi-threading interface,GNU Project
google/gsoc2012/robkoch86/41001,Robert Koch,WebSocket Testing Tool,Mozilla
google/gsoc2012/robert_sasu/34002,Robert Sasu,Complete the DirectX 11 render system,OGRE (Object-Oriented Graphics Rendering Engine) 
google/gsoc2012/spqrobin/9001,Robin Pepermans,Incubator improvements and language support,Wikimedia Foundation
google/gsoc2012/robin_hood/19001,Robin Schreiber,Improving memory management of extension modules,Python Software Foundation
google/gsoc2012/rodrigods/63002,Rodrigo Duarte,An XMPP Media Server,XMPP Standards Foundation
google/gsoc2012/rhubner/93002,Rodrigo Hübner,A historical time-line for Tryton client,Python Software Foundation
google/gsoc2012/zerg/15001,Roger Wilco,Adding Subsurface Scattering to Cycles,Blender Foundation
google/gsoc2012/crodjer/24002,Rohan Jain,Security Enhancements,Django Software Foundation
google/gsoc2012/rohank/33002,Rohan Kulkarni,Introduce a REST client in Scilab,Scilab
google/gsoc2012/rohit21agrawal/8001,Rohit Agrawal,eTrice : Extended Model Validation and State Graph Proposal Generation,The Eclipse Foundation
google/gsoc2012/yonromai/5001,Romain Yon,Cloud Gephi,Gephi Consortium
google/gsoc2012/phoenis/17002,Roman Zybin,Update LSB OLVER Core Test Suite,The Linux Foundation
google/gsoc2012/roney/22003,Roney Gomes,Porting Games to a More Modern Graphics Framework,KDE
google/gsoc2012/ropewil/8001,Ross,A Distributed Architecture to Stream Twitter and Sina Weibo Microblog Posts,Berkman Center for Internet & Society at Harvard University
google/gsoc2012/rlaidlaw/11001,Ross Laidlaw,Automated Publishing of GeoRSS Data from OODT File Manager to SIS,Apache Software Foundation
google/gsoc2012/roccivic/71002,Rouslan Placella,Removal of frames and integration of a new navigation system into phpMyAdmin,phpMyAdmin
google/gsoc2012/alin/19001,rraf,"Support for Home Router Systems and WiFi Radio & Neighborhood (Android, iOS)",The Wiselib
google/gsoc2012/roanta/5001,Ruben,MySQL Codec for Finagle,Twitter
google/gsoc2012/rudotx_linkid/24002,Rudolf Tomori,CPU percentage limits,FreeBSD
google/gsoc2012/xumuk/21001,Rustem,HMI (Human-Machine Interface) with Amber,ESUG (European Smalltalk User Group)
google/gsoc2012/ryandao/17001,Ryan Dao,Improve Payment module,SilverStripe
google/gsoc2012/trz/11001,Rūdolfs,Lockdown editor,GNOME
google/gsoc2012/savy2020/14001,S K Savant,[gnucap] Plugins to import and export gschem files in GNUCap,GNU Project
google/gsoc2012/xanibas/29001,Sabina Sara Pfister,Loading and visualization of dynamical networks in Cytoscape 3.0,National Resource for Network Biology (NRNB)
google/gsoc2012/n0nick/36002,Sagie Maoz,Pygame: Improved Sprite and Scene system,Python Software Foundation
google/gsoc2012/saheb/29001,Saheb Motiani,Canvas Based Modelling and Gui Improvements.,ASCEND
google/gsoc2012/cg_iz/17001,Sajad Izadi,Replace Eventd with new technology.,OpenNMS
google/gsoc2012/saketkc/43001,Saket Choudhary,Slide Importer client using the OERPub publishing API,Connexions
google/gsoc2012/sambull/12003,Sam Bull,Pygame: GUI toolkit,Python Software Foundation
google/gsoc2012/smd501/5001,Sam Devlin,"Updating Behaviour Trees, Recast&Detour and the Life-Sim Demo",Crystal Space
google/gsoc2012/samscumer/4001,Sam Schumer,Dashboard of administration tools,New Visions for Public Schools
google/gsoc2012/samxan/16001,Samikshan Bairagya,Make KStars more usable to beginner astronomers by adding “What's Interesting...” feature to KStars and by making “Star Hopping” feature user-configurable.,KDE
google/gsoc2012/samitha_jayathilaka/27002,SamJayathilaka,Replace current XML serializer of Catroid,Catroid Project
google/gsoc2012/samebchase/18001,Samuel Chase,Usability Improvements for Guides,Inkscape
google/gsoc2012/samfoy/3001,Samuel Painter,Government Gems and Eggs,Code for America
google/gsoc2012/hakzsam66/63002,Samuel Pitoiset,RTMP[E|S|T|TE] protocol implementation ,Libav
google/gsoc2012/samuelqueiroz/12001,Samuel Queiroz,XALAN - Add More EXSLT Functions,Apache Software Foundation
google/gsoc2012/samridh90/13001,Samy,Bringing the Cloud to the Fedora Desktop,The Fedora Project
google/gsoc2012/sandeepjoshi/10001,Sandeep,Human Resource Module,OpenMRS
google/gsoc2012/sandeepsoni/17002,Sandeep Soni,Gimple FE : Extending the text gimple recognizer to a real front end,GCC - GNU Compiler Collection
google/gsoc2012/sandramilanovic/9001,Sandra,Lots of OSM widgets / OSM widget constructor,OpenStreetMap
google/gsoc2012/sandrogrzicic/10002,Sandro Gržičić,Improving ScalaIDE for Eclipse,Scala Team
google/gsoc2012/sanjay1909/11001,Sanjay,Extending the Open Source Weave Analysis and Visualization Platform for the Biological Community,Portland State University
google/gsoc2012/sanjay6191/6001,sanjay rohila,Port Og_panels to D7 and Improve Message notify to make it the source of email notifications,Drupal
google/gsoc2012/snktagarwal/23001,sanket,Usage Statistic Collection,"Pidgin, Finch, and libpurple"
google/gsoc2012/sbragagnolo/34001,Santiago Bragagnolo,Call graph - Type Inference,ESUG (European Smalltalk User Group)
google/gsoc2012/santiagomunin/33001,Santiago Munín González,Improving Pandroid Event Viewer,Artica ST ( Pandora FMS )
google/gsoc2012/worldwise001/9001,Sarah Harvey,On-demand transformation of Open Street Map Data into common GIS formats ,52°North Initiative for Geospatial Open Source Software GmbH
google/gsoc2012/sarangbh/28005,sarangbh,Twitter Backend for Spectrum,XMPP Standards Foundation
google/gsoc2012/sasindarukshan/20001,Sasinda Rukshan,Improve Google Android XWiki Connector,XWiki
google/gsoc2012/hckkid/12001,Satyender Yadav,Generic Action Code Language,The Eclipse Foundation
google/gsoc2012/saurabh_kgp/9002,Saurabh Kumar,Implementing a new Master-Slave Protocol,Buildbot
google/gsoc2012/saurabhsood91/41002,Saurabh Sood,Beautiful 1-Click Install,openSUSE
google/gsoc2012/zalenix/58001,Saurav Bhattacharya,Export Excel files and other spreadsheet related goodies,ESUG (European Smalltalk User Group)
google/gsoc2012/savitha/19007,Savitha Sundaramoorthi,SOLR search component,XWiki
google/gsoc2012/sayak_sarkar/31001,Sayak Sarkar,New Visual Keyboard for Bengali,Ankur India
google/gsoc2012/smstewart/6001,Scott,AutoDJ Improvements,Mixxx DJ Software
google/gsoc2012/shalstvedt/19002,Scott Halstvedt,Moving CCV Forward - A Solid Foundation,Natural User Interface Group
google/gsoc2012/wtachi/46005,Sean Bartell,Structured binary data tools,"HelenOS group at Department of Distributed and Dependable Systems, Charles University in Prague"
google/gsoc2012/smuratet/4001,Sean Muratet,FPROPS and ASCEND: Exceeding Expectations,ASCEND
google/gsoc2012/shadowoftruth/8001,Sean Rivera,The Great Bug Hunt,Nmap Security Scanner
google/gsoc2012/sep_gil/28002,Sebastian (sepgil),Improving RESTful Web Services,Drupal
google/gsoc2012/sebs/49002,Sebastian Schmidt,Enriching Mylyn's Task Context with Breakpoints,The Eclipse Foundation
google/gsoc2012/fubhy/5001,Sebastian Siemssen,Translation Management Tools Server,Drupal
google/gsoc2012/sabman/7001,Sebastin Kolman,InfoMaps: A tool for Personal Information Management and Analysis,Portland State University
google/gsoc2012/sehaj_singh_kalra/22001,Sehaj Singh Kalra,QueryParser Reimplementation ,Xapian Search Engine Library
google/gsoc2012/chartotu/70002,Selvam,"SOCR HTML5 Resampling, Randomization and Simulation Project",Statistics Online Computational Resource
google/gsoc2012/seridarus/22003,Serdar Yiğit,Packet Manipulator Improvements,Umit Project
google/gsoc2012/sergof/13001,Sergej Reich,Bullet Integration,Blender Foundation
google/gsoc2012/sergey_lisitsyn/39002,Sergey Lisitsyn,Implement multitask and domain adaptation algorithms,Shogun Machine Learning Toolbox
google/gsoc2012/sergio_ufes/24002,Sergio R Charpinel Junior,Get ISPDB Into Production,Mozilla
google/gsoc2012/unlimitedscolobb/30002,Sergiu Ivanov,Category Theory Module,SymPy
google/gsoc2012/serhatkiyak/9001,serhatkiyak,Improving Abiword's OpenXML(.docx) support,abiword
google/gsoc2012/seriznue/12001,Seriznue,gvSIG Desktop plugin for change detection from multi-temporal sequence of satellite images using principal component analysis.,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/pclove1/15001,Seunghoon Park,Image Stitching,SimpleCV
google/gsoc2012/shapr/18001,Shae Erisson (shapr),"multiuser browser-based interactive ghci, hpaste.org meets tryhaskell.org, for improved teaching of those new to Haskell.",haskell.org
google/gsoc2012/shakyawijerama/13001,Shakya Wijerama,[XERCESJ-1130] Validating against multiple XML schemas with the   same namespace,Apache Software Foundation
google/gsoc2012/shameera/38002,Shameera Rathnayaka,Improve JSON support in Apache Axis2 with google-gson java library,Apache Software Foundation
google/gsoc2012/lincolnnus/22001,Shao,Project Proposal: Large Medical Image Viewer by Shaohuan Li,"Dept. of Biomedical Informatics, Emory University"
google/gsoc2012/shaohong/76002,Shao Hong,School Information System,New Visions for Public Schools
google/gsoc2012/g0/54002,Shashi Gowda,Sahana Eden as a Common Alerting Protocol Broker,Sahana Software Foundation
google/gsoc2012/shaunheilee/20001,Shaun,Python bindings rewrite,ASCEND
google/gsoc2012/scgeer11/42007,Shaun Geer,An examination of how linkage networks in media sites predicts readership levels.,Berkman Center for Internet & Society at Harvard University
google/gsoc2012/shayannajd/18001,ShayanNajd,Haskell-Type-Exts,haskell.org
google/gsoc2012/feishenfeng4294/4001,Shenfeng Fei,Trans-surface Metadata Message Passing with NFC,Interface Ecology Lab @ Texas A&M University
google/gsoc2012/shentok/18001,shentey,An OpenGL Mode for Marble,KDE
google/gsoc2012/shivansh/94002,Shivansh Srivastava,BioGPS:JQuery-based BioGPS gene-report layout canvas,Crowdsourcing Biology
google/gsoc2012/sraman/10001,Shivaraman Aiyer,Perspective Drawing in Krita,KDE
google/gsoc2012/shreya_pandit/57002,Shreya Pandit,Introduction of Context Action Based Layout and UI Improvements in Gluon Creator,KDE
google/gsoc2012/shrikrishna_holla/21001,Shrikrishna Holla,Add an Infinite Canvas / Wraparound mode for Krita,KDE
google/gsoc2012/shruti123/17001,Shruti Gupta,"Graphical Models, Bayesian Belief Networks, Gibbs sampler",RooStats
google/gsoc2012/magiclko/33002,Shubham Sachdeva,SOS Administrator,52°North Initiative for Geospatial Open Source Software GmbH
google/gsoc2012/siddharth_kherada/67002,Siddharth Kherada,Computational Photography Processing Tools,Natural User Interface Group
google/gsoc2012/siddharth/58002,Siddharth Srivastava,Improvised code coverage for Derby,Apache Software Foundation
google/gsoc2012/sidhant/17001,Sidhant,GIS link to the Web of Things,52°North Initiative for Geospatial Open Source Software GmbH
google/gsoc2012/simgesezgin/21001,SimgeSezgin,Project: Catroid -> Live Wallpaper,Catroid Project
google/gsoc2012/simonfuller/28001,Simon Fuller,HyperSpec: Parallelization and Optimization,R project for statistical computing
google/gsoc2012/simonlindgren/19002,Simon Lindgren,Code issue detection and code actions for MonoDevelop and NRefactory,Mono Project
google/gsoc2012/sinansonlu/20001,Sinan Sonlu,Layout Algorithms for New Cytoscape Web,National Resource for Network Biology (NRNB)
google/gsoc2012/ksinny/48002,Sinny Kumari,Advanced features and enhancements for Plasma Media Center,KDE
google/gsoc2012/cotare/8001,SirCotare,[Ryzom Game Functionality] Implement Character Achievements,WorldForge
google/gsoc2012/salihalallali/8001,slallali,Integrate smart card support in OpenPGPjs javascript framework,FOSSASIA
google/gsoc2012/slava/44001,Slava Bacherikov,Extend packages.gentoo.org,Gentoo Foundation
google/gsoc2012/smitmehta/22001,Smit Mehta,UPnP / DLNA plugin for digiKam,KDE
google/gsoc2012/smitpatel/23001,Smit Patel,Bibliography engine integration and UI to manage citations in Calligra Words,KDE
google/gsoc2012/smitsanghavi/22001,Smit Sanghavi,Bertault Layout,OGDF - Open Graph Drawing Framework
google/gsoc2012/smoof/13001,Smoof,Kate Part - Script IDE,KDE
google/gsoc2012/priscilla/19001,Sneha Priscilla,Fixing and implementing wishlists items and bug-fixes for existing features,Systers
google/gsoc2012/soma/11017,soma,"Rewrite Freifunk OpenWrt Imagebuilder, improve meshwizard",freifunk
google/gsoc2012/somaen/21001,somaen,ScummVM - WinterMute-port,ScummVM
google/gsoc2012/sorin_manole/11001,Sorin Manole,Patient Privacy (Password Protection),Grassroots DICOM
google/gsoc2012/sorina/5001,Sorina Sandu,Improve debian-installer network setup,Debian Project 
google/gsoc2012/sourabhchandak/21001,Sourabh Chandak,Key-Value store technology for Duda,Monkey HTTP Daemon
google/gsoc2012/spm/22001,SP Mohanty,Improvements to the Sigmah Community Website Project,Sigmah
google/gsoc2012/spenceralves/20001,Spencer Alves,Adapting the Hive system for the Blender Game Engine,Blender Foundation
google/gsoc2012/spdizzy/22001,Spindizzy,SWIG's Scilab 6.0 Backend,SWIG
google/gsoc2012/sploving/70002,sploving,Integrate Baggy Bounds Checking into SAFECode,The LLVM Compiler Infrastructure 
google/gsoc2012/spy/21001,spy,Blog implementation,MoinMoin Wiki
google/gsoc2012/spyrosgaster/28001,Spyros Gasteratos,B.A.T.M.A.N. Backwards Combatibility implementation through the use of  tlv information elements,freifunk
google/gsoc2012/vinaysrao/50002,sr.vinay,Gluon: Implement Saving/Loading Gluon Engine's Game State,KDE
google/gsoc2012/sreenatha/19001,Sreenatha Bhatlapenumarthi,GUI Improvements and Bug Squashing,ASCEND
google/gsoc2012/rsreeraj/20001,Sreeraj R,GNU Radio: Extend and improve filter design components,GNU Project
google/gsoc2012/kmitmaurya/42001,Sri Maurya Kummamuru,Dynamic List Entry Tags and Widgets,OpenMRS
google/gsoc2012/kmitharsha/43001,SriHarsha,Metadata Sharing Server Project,OpenMRS
google/gsoc2012/ronanki/13001,Srikanth Ronanki,"Web-Based Pronunciation Evaluation Using Acoustic, Duration, and Phonological Scoring with CMU Sphinx3",CMUSphinx
google/gsoc2012/srimalj/11003,srimalj,Structure from Motion (SfM) - help adapt libmv for OpenCV,Open Source Computer Vision Library (OpenCV)
google/gsoc2012/srineth/10001,srineth,Implement a survey infrastructure for the Fedora Project,The Fedora Project
google/gsoc2012/sscheel/21002,sscheel,Refactor and Rework the Task Editor of Getting Things Gnome,GNOME
google/gsoc2012/chocoholic_jedi/13001,ssfinney,"Implementation of Open311's GeoReport v2 Server for the City of Macon, GA.",Code for America
google/gsoc2012/wurfkeks/22002,Stanley,Desktop web client for OI apps,OpenIntents
google/gsoc2012/steelstyle/13001,Steel Style,Lighter2 improvement,Crystal Space
google/gsoc2012/stefanstavrev/17001,Stefan,Add image processing algorithms to OpenImageIO,OpenImageIO
google/gsoc2012/krastanov/13001,Stefan Krastanov,Vector Analysis,SymPy
google/gsoc2012/mstefanro/47002,Stefan Mihaila,Create a new version of the Pickle serializer for Python,Python Software Foundation
google/gsoc2012/stefan_neculai/68003,Stefan Neculai,Web Service API for Directory-Like Applications,Joomla!
google/gsoc2012/styp/12001,Stefan Simon,Drag & Drop in Pre-Stage,Catroid Project
google/gsoc2012/cando/26001,Stefano Candori,Revamp of the Activity Journal,GNOME
google/gsoc2012/slattarini/55002,Stefano Lattarini,"automake - non-hostile fork ""Automake-NG"" to exploit more features of GNU make",GNU Project
google/gsoc2012/stepan/35001,Stepan,Video output tool,Hedgewars Project
google/gsoc2012/turek/38001,Stepan Turek,GRASS GIS WxGui front end for vector analysis modules ,OSGeo - Open Source Geospatial Foundation
google/gsoc2012/sdough/46002,Steve Dougherty,"Network Probes, Statistics, and Analysis",Freenet Project Inc
google/gsoc2012/sjgranda/19001,Steve Granda,Finish Physical Etoys port to Sugar,ESUG (European Smalltalk User Group)
google/gsoc2012/steve/7008,Steve Jothen,Port ASan to NetBSD,The NetBSD Foundation
google/gsoc2012/smacleod/10001,Steven MacLeod,RBTools Improvement,Review Board
google/gsoc2012/tianhongyu/25001,Stove,Porting OI Shopping List to iOS platform,OpenIntents
google/gsoc2012/suhasmonk/19001,Suhas HS,Improvements To OpenStackManager Extension,Wikimedia Foundation
google/gsoc2012/sumeetsk/7001,Sumeet,Signal Processing Blockset,Scilab
google/gsoc2012/summon128/19001,summon,Lab Administration Pages,Raxa
google/gsoc2012/sundargates/7002,Sundaram,Native Chrome and Firefox support for Metalinks,Metalink
google/gsoc2012/sunimalr/13001,Sunimal Rathnayake,.NET client for the Hot Rod wire protocol,JBoss Community
google/gsoc2012/ayrus/8001,Surya Nallu,AfterGlow Cloud,The Honeynet Project
google/gsoc2012/suryajith/34002,Suryajith Chillara,Benchmark Performance Database,BRL-CAD
